/home/zzydty/minigrid-a2c-ppo-dqn/scripts/train.py --env MiniGrid-FourDoor-v0 --algo dqn --model dqn-partial_obs-2 --frames 1000000 --procs 1 --batch-size 300 --max-memory 1500 --seed 2 --update-interval 20

Namespace(algo='dqn', batch_size=300, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-FourDoor-v0', episodes=10000000, epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, max_memory=1500, mem=False, model='dqn-partial_obs-2', optim_alpha=0.99, optim_eps=1e-08, procs=1, recurrence=1, save_interval=100, seed=2, text=False, update_interval=20, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

QModel(
  (conv1): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
  (conv3): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=5, bias=True)
  )
)

Optimizer loaded

U 1 | E 1 | F 000324 | FPS 3849 | D 0 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.025
U 22 | E 22 | F 006735 | FPS 3666 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.029
U 23 | E 23 | F 007059 | FPS 3609 | D 1 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.009
U 24 | E 24 | F 007383 | FPS 3612 | D 1 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.024
U 25 | E 25 | F 007707 | FPS 3565 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.009
U 26 | E 26 | F 008031 | FPS 3690 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.010
U 27 | E 27 | F 008355 | FPS 3698 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.021
U 28 | E 28 | F 008679 | FPS 3648 | D 2 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.011
U 29 | E 29 | F 009003 | FPS 3172 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.026
U 30 | E 30 | F 009327 | FPS 3696 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.032
U 31 | E 31 | F 009651 | FPS 3617 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.007
U 32 | E 32 | F 009975 | FPS 3877 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.013
U 33 | E 33 | F 010299 | FPS 3703 | D 2 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.005
U 34 | E 34 | F 010448 | FPS 3430 | D 2 | rR:μσmM 6.74 81.65 0.00 1000.00 | pL 3.357
U 35 | E 35 | F 010772 | FPS 3626 | D 2 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.015
U 36 | E 36 | F 011096 | FPS 3319 | D 2 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.014
U 37 | E 37 | F 011420 | FPS 3669 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.018
U 38 | E 38 | F 011744 | FPS 3534 | D 3 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.014
U 39 | E 39 | F 012068 | FPS 3721 | D 3 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 0.031
U 40 | E 40 | F 012392 | FPS 3820 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.022
U 41 | E 41 | F 012716 | FPS 3675 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.020
U 42 | E 42 | F 013040 | FPS 3708 | D 3 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.022
U 43 | E 43 | F 013364 | FPS 3616 | D 3 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.015
U 44 | E 44 | F 013688 | FPS 3809 | D 3 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.013
U 45 | E 45 | F 014012 | FPS 3790 | D 3 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.011
U 46 | E 46 | F 014336 | FPS 3565 | D 3 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.011
U 47 | E 47 | F 014660 | FPS 3360 | D 3 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.027
U 48 | E 48 | F 014920 | FPS 3574 | D 4 | rR:μσmM 3.87 61.90 0.00 1000.00 | pL 3.360
U 49 | E 49 | F 015244 | FPS 3746 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.020
U 50 | E 50 | F 015568 | FPS 3623 | D 4 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.007
U 51 | E 51 | F 015842 | FPS 3500 | D 4 | rR:μσmM 3.69 60.30 0.00 1000.00 | pL 0.024
U 52 | E 52 | F 016166 | FPS 3673 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.026
U 53 | E 53 | F 016490 | FPS 3725 | D 4 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.037
U 54 | E 54 | F 016613 | FPS 3280 | D 4 | rR:μσmM 8.18 89.80 0.00 1000.00 | pL 0.025
U 55 | E 55 | F 016813 | FPS 3523 | D 4 | rR:μσmM 5.03 70.53 0.00 1000.00 | pL 3.355
U 56 | E 56 | F 017137 | FPS 3661 | D 4 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.024
U 57 | E 57 | F 017461 | FPS 3753 | D 4 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.027
U 58 | E 58 | F 017619 | FPS 3343 | D 4 | rR:μσmM 6.35 79.30 0.00 1000.00 | pL 0.019
U 59 | E 59 | F 017943 | FPS 3671 | D 4 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.016
U 60 | E 60 | F 018267 | FPS 3441 | D 4 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.043
U 61 | E 61 | F 018591 | FPS 3517 | D 5 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.046
U 62 | E 62 | F 018786 | FPS 3544 | D 5 | rR:μσmM 5.15 71.43 0.00 1000.00 | pL 0.054
U 63 | E 63 | F 018916 | FPS 3670 | D 5 | rR:μσmM 7.72 87.37 0.00 1000.00 | pL 0.041
U 64 | E 64 | F 019240 | FPS 3728 | D 5 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.033
U 65 | E 65 | F 019564 | FPS 3579 | D 5 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.018
U 66 | E 66 | F 019888 | FPS 3649 | D 5 | rR:μσmM 0.05 0.31 0.00 2.00 | pL 0.033
U 67 | E 67 | F 020212 | FPS 3692 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 3.358
U 68 | E 68 | F 020345 | FPS 3310 | D 5 | rR:μσmM 7.58 86.38 0.00 1000.00 | pL 3.348
U 69 | E 69 | F 020584 | FPS 3499 | D 5 | rR:μσmM 4.21 64.55 0.00 1000.00 | pL 0.018
U 70 | E 70 | F 020798 | FPS 3453 | D 5 | rR:μσmM 4.70 68.20 0.00 1000.00 | pL 0.017
U 71 | E 71 | F 020849 | FPS 2752 | D 5 | rR:μσmM 19.73 138.63 0.00 1000.00 | pL 6.685
U 72 | E 72 | F 021173 | FPS 3579 | D 5 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 0.032
U 73 | E 73 | F 021497 | FPS 3602 | D 5 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 6.702
U 74 | E 74 | F 021821 | FPS 3487 | D 5 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.022
U 75 | E 75 | F 021888 | FPS 2704 | D 6 | rR:μσmM 14.99 121.25 0.00 1000.00 | pL 6.676
U 76 | E 76 | F 021978 | FPS 2971 | D 6 | rR:μσmM 11.20 104.81 0.00 1000.00 | pL 0.022
U 77 | E 77 | F 022036 | FPS 2790 | D 6 | rR:μσmM 17.31 130.16 0.00 1000.00 | pL 3.348
U 78 | E 78 | F 022360 | FPS 3571 | D 6 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 3.356
U 79 | E 79 | F 022429 | FPS 2948 | D 6 | rR:μσmM 14.55 119.50 0.00 1000.00 | pL 3.354
U 80 | E 80 | F 022590 | FPS 3315 | D 6 | rR:μσmM 6.24 78.56 0.00 1000.00 | pL 0.058
U 81 | E 81 | F 022914 | FPS 3573 | D 6 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 6.759
U 82 | E 82 | F 023238 | FPS 3780 | D 6 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 3.445
U 83 | E 83 | F 023562 | FPS 3617 | D 6 | rR:μσmM 0.04 0.29 0.00 2.00 | pL 0.070
U 84 | E 84 | F 023886 | FPS 3681 | D 6 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.383
U 85 | E 85 | F 024210 | FPS 3639 | D 6 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.052
U 86 | E 86 | F 024286 | FPS 3027 | D 6 | rR:μσmM 13.21 113.95 0.00 1000.00 | pL 0.033
U 87 | E 87 | F 024399 | FPS 3369 | D 6 | rR:μσmM 8.88 93.65 0.00 1000.00 | pL 0.050
U 88 | E 88 | F 024723 | FPS 3670 | D 6 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.039
U 89 | E 89 | F 025047 | FPS 3708 | D 6 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.034
U 90 | E 90 | F 025371 | FPS 3535 | D 6 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.046
U 91 | E 91 | F 025538 | FPS 3479 | D 7 | rR:μσmM 6.02 77.15 0.00 1000.00 | pL 0.026
U 92 | E 92 | F 025862 | FPS 3146 | D 7 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.352
U 93 | E 93 | F 025952 | FPS 3115 | D 7 | rR:μσmM 11.18 104.82 0.00 1000.00 | pL 3.367
U 94 | E 94 | F 026088 | FPS 3367 | D 7 | rR:μσmM 7.40 85.43 0.00 1000.00 | pL 6.688
U 95 | E 95 | F 026162 | FPS 2927 | D 7 | rR:μσmM 13.57 115.45 0.00 1000.00 | pL 0.030
U 96 | E 96 | F 026397 | FPS 3644 | D 7 | rR:μσmM 4.31 65.09 0.00 1000.00 | pL 3.364
U 97 | E 97 | F 026599 | FPS 3565 | D 7 | rR:μσmM 4.97 70.18 0.00 1000.00 | pL 3.367
U 98 | E 98 | F 026727 | FPS 3333 | D 7 | rR:μσmM 7.86 88.04 0.00 1000.00 | pL 3.349
U 99 | E 99 | F 027051 | FPS 3784 | D 7 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.035
U 100 | E 100 | F 027209 | FPS 3439 | D 7 | rR:μσmM 6.37 79.30 0.00 1000.00 | pL 6.783
Status saved
U 101 | E 101 | F 027533 | FPS 3683 | D 7 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 3.573
U 102 | E 102 | F 027739 | FPS 3560 | D 7 | rR:μσmM 4.88 69.50 0.00 1000.00 | pL 3.522
U 103 | E 103 | F 027926 | FPS 3573 | D 7 | rR:μσmM 5.40 72.93 0.00 1000.00 | pL 3.431
U 104 | E 104 | F 028250 | FPS 3628 | D 7 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.053
U 105 | E 105 | F 028574 | FPS 3624 | D 7 | rR:μσmM 0.01 0.16 0.00 2.00 | pL 3.366
U 106 | E 106 | F 028898 | FPS 3471 | D 8 | rR:μσmM 0.04 0.29 0.00 2.00 | pL 0.052
U 107 | E 107 | F 028950 | FPS 2638 | D 8 | rR:μσmM 19.31 137.32 0.00 1000.00 | pL 3.358
U 108 | E 108 | F 029274 | FPS 3482 | D 8 | rR:μσmM 0.02 0.22 0.00 2.00 | pL 0.038
U 109 | E 109 | F 029598 | FPS 3828 | D 8 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.040
U 110 | E 110 | F 029922 | FPS 3806 | D 8 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.030
U 111 | E 111 | F 029984 | FPS 2704 | D 8 | rR:μσmM 16.19 125.96 0.00 1000.00 | pL 0.041
U 112 | E 112 | F 030308 | FPS 3756 | D 8 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.369
U 113 | E 113 | F 030401 | FPS 2960 | D 8 | rR:μσmM 10.82 103.13 0.00 1000.00 | pL 0.045
U 114 | E 114 | F 030716 | FPS 3791 | D 8 | rR:μσmM 3.21 56.25 0.00 1000.00 | pL 0.051
U 115 | E 115 | F 031040 | FPS 3723 | D 8 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.041
U 116 | E 116 | F 031108 | FPS 2794 | D 8 | rR:μσmM 14.79 120.36 0.00 1000.00 | pL 0.046
U 117 | E 117 | F 031350 | FPS 3616 | D 8 | rR:μσmM 4.17 64.15 0.00 1000.00 | pL 0.050
U 118 | E 118 | F 031674 | FPS 3610 | D 8 | rR:μσmM 0.04 0.29 0.00 2.00 | pL 6.702
U 119 | E 119 | F 031820 | FPS 3395 | D 8 | rR:μσmM 6.93 82.47 0.00 1000.00 | pL 6.701
U 120 | E 120 | F 032074 | FPS 3557 | D 8 | rR:μσmM 3.98 62.62 0.00 1000.00 | pL 3.438
U 121 | E 121 | F 032177 | FPS 3156 | D 8 | rR:μσmM 9.79 98.05 0.00 1000.00 | pL 0.077
U 122 | E 122 | F 032250 | FPS 2477 | D 8 | rR:μσmM 13.78 116.23 0.00 1000.00 | pL 10.105
U 123 | E 123 | F 032362 | FPS 2668 | D 9 | rR:μσmM 8.98 94.06 0.00 1000.00 | pL 6.753
U 124 | E 124 | F 032686 | FPS 3196 | D 9 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 3.422
U 125 | E 125 | F 032799 | FPS 2767 | D 9 | rR:μσmM 8.90 93.65 0.00 1000.00 | pL 10.056
U 126 | E 126 | F 033123 | FPS 3236 | D 9 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.410
U 127 | E 127 | F 033180 | FPS 2061 | D 9 | rR:μσmM 17.65 131.27 0.00 1000.00 | pL 3.403
U 128 | E 128 | F 033347 | FPS 3092 | D 9 | rR:μσmM 6.06 77.15 0.00 1000.00 | pL 0.057
U 129 | E 129 | F 033671 | FPS 3701 | D 9 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 6.715
U 130 | E 130 | F 033923 | FPS 3645 | D 9 | rR:μσmM 4.02 62.87 0.00 1000.00 | pL 0.039
U 131 | E 131 | F 034206 | FPS 3681 | D 9 | rR:μσmM 3.58 59.34 0.00 1000.00 | pL 3.379
U 132 | E 132 | F 034530 | FPS 3613 | D 9 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.384
U 133 | E 133 | F 034661 | FPS 3359 | D 9 | rR:μσmM 7.69 87.03 0.00 1000.00 | pL 3.385
U 134 | E 134 | F 034727 | FPS 2771 | D 9 | rR:μσmM 15.24 122.14 0.00 1000.00 | pL 6.722
U 135 | E 135 | F 034917 | FPS 3657 | D 9 | rR:μσmM 5.33 72.35 0.00 1000.00 | pL 3.380
U 136 | E 136 | F 035238 | FPS 3747 | D 9 | rR:μσmM 3.16 55.73 0.00 1000.00 | pL 3.378
U 137 | E 137 | F 035562 | FPS 3629 | D 9 | rR:μσmM 0.05 0.31 0.00 2.00 | pL 3.382
U 138 | E 138 | F 035770 | FPS 3470 | D 10 | rR:μσmM 4.87 69.17 0.00 1000.00 | pL 3.366
U 139 | E 139 | F 036094 | FPS 3434 | D 10 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 10.025
U 140 | E 140 | F 036229 | FPS 3171 | D 10 | rR:μσmM 7.45 85.74 0.00 1000.00 | pL 10.146
U 141 | E 141 | F 036397 | FPS 3427 | D 10 | rR:μσmM 6.02 76.92 0.00 1000.00 | pL 6.755
U 142 | E 142 | F 036721 | FPS 3709 | D 10 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.090
U 143 | E 143 | F 037045 | FPS 3662 | D 10 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.072
U 144 | E 144 | F 037094 | FPS 2504 | D 10 | rR:μσmM 20.53 141.38 0.00 1000.00 | pL 3.415
U 145 | E 145 | F 037418 | FPS 3684 | D 10 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 3.404
U 146 | E 146 | F 037623 | FPS 3498 | D 10 | rR:μσmM 4.94 69.67 0.00 1000.00 | pL 10.055
U 147 | E 147 | F 037811 | FPS 3373 | D 10 | rR:μσmM 5.38 72.73 0.00 1000.00 | pL 3.397
U 148 | E 148 | F 037890 | FPS 3005 | D 10 | rR:μσmM 12.73 111.79 0.00 1000.00 | pL 0.066
U 149 | E 149 | F 038213 | FPS 3791 | D 10 | rR:μσmM 3.12 55.55 0.00 1000.00 | pL 0.067
U 150 | E 150 | F 038505 | FPS 3577 | D 10 | rR:μσmM 3.47 58.42 0.00 1000.00 | pL 3.395
U 151 | E 151 | F 038677 | FPS 3310 | D 10 | rR:μσmM 5.88 76.02 0.00 1000.00 | pL 10.033
U 152 | E 152 | F 039001 | FPS 3613 | D 10 | rR:μσmM 0.02 0.19 0.00 2.00 | pL 10.039
U 153 | E 153 | F 039325 | FPS 3727 | D 11 | rR:μσmM 0.04 0.29 0.00 2.00 | pL 6.712
U 154 | E 154 | F 039649 | FPS 3715 | D 11 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.384
U 155 | E 155 | F 039973 | FPS 3504 | D 11 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.369
U 156 | E 156 | F 040128 | FPS 3395 | D 11 | rR:μσmM 6.53 80.06 0.00 1000.00 | pL 0.067
U 157 | E 157 | F 040336 | FPS 3679 | D 11 | rR:μσmM 4.84 69.17 0.00 1000.00 | pL 0.067
U 158 | E 158 | F 040519 | FPS 3314 | D 11 | rR:μσmM 5.53 73.72 0.00 1000.00 | pL 3.375
U 159 | E 159 | F 040721 | FPS 3227 | D 11 | rR:μσmM 5.02 70.18 0.00 1000.00 | pL 3.381
U 160 | E 160 | F 040859 | FPS 3392 | D 11 | rR:μσmM 7.32 84.81 0.00 1000.00 | pL 0.147
U 161 | E 161 | F 040989 | FPS 3320 | D 11 | rR:μσmM 7.78 87.36 0.00 1000.00 | pL 0.154
U 162 | E 162 | F 041118 | FPS 3627 | D 11 | rR:μσmM 7.78 87.70 0.00 1000.00 | pL 10.176
U 163 | E 163 | F 041176 | FPS 2688 | D 11 | rR:μσmM 17.31 130.16 0.00 1000.00 | pL 0.106
U 164 | E 164 | F 041433 | FPS 3643 | D 11 | rR:μσmM 3.95 62.25 0.00 1000.00 | pL 3.435
U 165 | E 165 | F 041479 | FPS 2465 | D 11 | rR:μσmM 21.87 145.81 0.00 1000.00 | pL 10.059
U 166 | E 166 | F 041567 | FPS 2911 | D 11 | rR:μσmM 11.50 105.98 0.00 1000.00 | pL 20.059
U 167 | E 167 | F 041891 | FPS 3587 | D 11 | rR:μσmM 0.04 0.29 0.00 2.00 | pL 13.375
U 168 | E 168 | F 041951 | FPS 2683 | D 11 | rR:μσmM 16.77 128.01 0.00 1000.00 | pL 10.045
U 169 | E 169 | F 042158 | FPS 3512 | D 11 | rR:μσmM 4.90 69.33 0.00 1000.00 | pL 6.713
U 170 | E 170 | F 042331 | FPS 3483 | D 11 | rR:μσmM 5.86 75.80 0.00 1000.00 | pL 6.710
U 171 | E 171 | F 042357 | FPS 1716 | D 11 | rR:μσmM 38.69 192.26 0.00 1000.00 | pL 16.690
U 172 | E 172 | F 042397 | FPS 2272 | D 11 | rR:μσmM 25.15 156.10 0.00 1000.00 | pL 10.024
U 173 | E 173 | F 042450 | FPS 2563 | D 11 | rR:μσmM 18.98 136.04 0.00 1000.00 | pL 3.392
U 174 | E 174 | F 042660 | FPS 3418 | D 12 | rR:μσmM 4.82 68.84 0.00 1000.00 | pL 6.709
U 175 | E 175 | F 042692 | FPS 2092 | D 12 | rR:μσmM 31.38 173.97 0.00 1000.00 | pL 3.380
U 176 | E 176 | F 042934 | FPS 3536 | D 12 | rR:μσmM 4.17 64.15 0.00 1000.00 | pL 10.028
U 177 | E 177 | F 043002 | FPS 3129 | D 12 | rR:μσmM 14.76 120.37 0.00 1000.00 | pL 0.046
U 178 | E 178 | F 043154 | FPS 3374 | D 12 | rR:μσmM 6.62 80.84 0.00 1000.00 | pL 6.701
U 179 | E 179 | F 043390 | FPS 3292 | D 12 | rR:μσmM 4.30 64.95 0.00 1000.00 | pL 16.676
U 180 | E 180 | F 043680 | FPS 3603 | D 12 | rR:μσmM 3.50 58.62 0.00 1000.00 | pL 0.191
U 181 | E 181 | F 043738 | FPS 2834 | D 12 | rR:μσmM 17.34 130.16 0.00 1000.00 | pL 6.827
U 182 | E 182 | F 043909 | FPS 3484 | D 12 | rR:μσmM 5.88 76.25 0.00 1000.00 | pL 10.156
U 183 | E 183 | F 044061 | FPS 3303 | D 12 | rR:μσmM 6.66 80.84 0.00 1000.00 | pL 3.469
U 184 | E 184 | F 044115 | FPS 2744 | D 12 | rR:μσmM 18.63 134.80 0.00 1000.00 | pL 6.772
U 185 | E 185 | F 044166 | FPS 2451 | D 12 | rR:μσmM 19.69 138.64 0.00 1000.00 | pL 10.076
U 186 | E 186 | F 044365 | FPS 3572 | D 12 | rR:μσmM 5.08 70.71 0.00 1000.00 | pL 10.101
U 187 | E 187 | F 044471 | FPS 3039 | D 12 | rR:μσmM 9.49 96.66 0.00 1000.00 | pL 13.424
U 188 | E 188 | F 044795 | FPS 3010 | D 12 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 3.424
U 189 | E 189 | F 045119 | FPS 3521 | D 12 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 3.424
U 190 | E 190 | F 045189 | FPS 2809 | D 12 | rR:μσmM 14.37 118.66 0.00 1000.00 | pL 13.390
U 191 | E 191 | F 045513 | FPS 3624 | D 12 | rR:μσmM 0.03 0.25 0.00 2.00 | pL 0.079
U 192 | E 192 | F 045837 | FPS 3641 | D 12 | rR:μσmM 0.06 0.33 0.00 2.00 | pL 3.424
U 193 | E 193 | F 045889 | FPS 2669 | D 13 | rR:μσmM 19.31 137.32 0.00 1000.00 | pL 0.091
U 194 | E 194 | F 045928 | FPS 2214 | D 13 | rR:μσmM 25.74 158.05 0.00 1000.00 | pL 0.080
U 195 | E 195 | F 046214 | FPS 3482 | D 13 | rR:μσmM 3.52 59.03 0.00 1000.00 | pL 0.088
U 196 | E 196 | F 046324 | FPS 2762 | D 13 | rR:μσmM 9.15 94.91 0.00 1000.00 | pL 6.732
U 197 | E 197 | F 046648 | FPS 3408 | D 13 | rR:μσmM 0.04 0.27 0.00 2.00 | pL 0.070
U 198 | E 198 | F 046704 | FPS 2766 | D 13 | rR:μσmM 17.93 132.42 0.00 1000.00 | pL 3.404
U 199 | E 199 | F 046832 | FPS 3064 | D 13 | rR:μσmM 7.86 88.04 0.00 1000.00 | pL 0.073
U 200 | E 200 | F 047087 | FPS 3617 | D 13 | rR:μσmM 3.97 62.50 0.00 1000.00 | pL 6.774
Status saved
